url,file size,No of out links,Content-type
http://www.keck.usc.edu/,154232,95,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/plugins/download-manager/font-awesome/css/font-awesome.min.css?ver=4.3.2,21984,2,text/css
http://www.keck.usc.edu/wp-content/themes/Avada/css/ipad.css?ver=4.3.2,21093,0,text/css
http://www.keck.usc.edu/wp-content/themes/Avada/images/shared/footer-connect.jpg,14470,0,image/jpeg
http://www.keck.usc.edu/feed/,51937,0,application/rss+xml; charset=UTF-8
http://www.keck.usc.edu/wp-content/plugins/revslider/rs-plugin/css/settings.css?rev=4.6.0&ver=4.3.2,53049,1,text/css
http://www.keck.usc.edu/wp-content/uploads/2015/03/keck-logo.png,10525,0,image/png
http://www.keck.usc.edu/wp-content/themes/Avada/fonts/fontawesome/font-awesome.css?ver=4.3.2,26606,2,text/css
http://www.keck.usc.edu/wp-content/uploads/2014/10/icon-patients1.png,1162,0,image/png
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport14-feb2011.jpg,35776,0,image/jpeg
http://www.keck.usc.edu/category/news/genetic-medicine/,129116,73,text/html; charset=UTF-8
http://www.keck.usc.edu/award-winning-genomic-scientist-to-build-new-department-and-institute/,153653,151,text/html; charset=UTF-8
http://www.keck.usc.edu/category/featured/,157620,99,text/html; charset=UTF-8
http://www.keck.usc.edu/category/featured/page/2/,129249,72,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2015/04/deansreport29-apr2015.pdf,1131423,0,application/pdf
http://www.keck.usc.edu/wp-includes/wlwmanifest.xml,1045,1,text/xml
http://www.keck.usc.edu/about-us/deans-corner/,151031,150,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2015/09/Robotic-surgery.jpg,87446,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/2015/07/Keck-School-150x150.jpg,38105,0,image/jpeg
http://www.keck.usc.edu/patients/,137953,75,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport10-may2010.pdf,546592,0,application/pdf
http://www.keck.usc.edu/2015/08/,158143,100,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport13-dec2010.pdf,758545,0,application/pdf
http://www.keck.usc.edu/common-genetic-variation-safeguards-children-from-asthma-study-finds/,151111,152,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2016/02/Stroke-Patient-1-web.jpg,88567,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport15-jun2011.jpg,37749,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/2014/10/icon-education1.png,1606,0,image/png
http://www.keck.usc.edu/about-us/departments-institutes/institutes/,138806,97,text/html; charset=UTF-8
http://www.keck.usc.edu/hear-and-now-restoring-sound-perception-after-hearing-loss/,156911,151,text/html; charset=UTF-8
http://www.keck.usc.edu/about-us/leadership/directors/,139732,91,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/themes/Avada/images/shared/footer.png,25990,0,image/png
http://www.keck.usc.edu/category/news/emergency-medicine/,132037,72,text/html; charset=UTF-8
http://www.keck.usc.edu/2014/07/,128800,70,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2015/06/henri_ford_twins_chla.jpg,82657,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/2015/03/favicon.png,1350,0,image/png
http://www.keck.usc.edu/wp-content/plugins/download-manager/bootstrap/css/bootstrap.css?ver=4.3.2,120941,0,text/css
http://www.keck.usc.edu/wp-content/uploads/2015/04/zni_building.jpg,55971,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/2016/02/Toga-talk-1-web.jpg,45211,0,image/jpeg
http://www.keck.usc.edu/wp-content/plugins/events-manager/includes/css/events_manager.css?ver=5.55,15251,0,text/css
http://www.keck.usc.edu/about-us/leadership/organization-chart/,138580,92,text/html; charset=UTF-8
http://www.keck.usc.edu/about-us/leadership/faculty-council/member-bios/,152207,91,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/sites/9/2015/02/deansreport21-dec2012.jpg,34290,0,image/jpeg
http://www.keck.usc.edu/wp-content/uploads/2015/05/commencement_2015_featured.jpg,54080,0,image/jpeg
http://www.keck.usc.edu/usc-alzheimers-therapeutic-research-institute-hosts-leading-neuroscientists-for-two-day-meeting/,152283,149,text/html; charset=UTF-8
http://www.keck.usc.edu/category/news/molecular-microbiology-and-immunology/,146553,84,text/html; charset=UTF-8
http://www.keck.usc.edu/site-map/,146662,167,text/html; charset=UTF-8
http://www.keck.usc.edu/about-us/visiting-keck-school-of-medicine/maps-directions/,147316,96,text/html; charset=UTF-8
http://www.keck.usc.edu/wp-content/uploads/2014/10/icon-research1.png,1427,0,image/png
http://www.keck.usc.edu/comments/feed/,9273,0,application/rss+xml; charset=UTF-8
http://www.keck.usc.edu/wp-content/plugins/google-custom-search/css/gsc.css?ver=4.3.2,2838,0,text/css
http://www.keck.usc.edu/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.2.1,1103,0,text/css
http://www.keck.usc.edu/2015/11/,157641,100,text/html; charset=UTF-8
